ID	sample	k	n0	r	t_mid	t_gen	auc_l	auc_e	sigma	note	Plate	Passage	Compound	Concentration	Solvent
A1_Plate_1	A1	0.56378015247352	0.0341912589571182	0.329360402463614	8.31955203812626	2.10452493795614	8.18299965174757	8.1305	0.0184282143382151		Plate_1	0	Acarbose	25	DMSO
A1_Plate_1	A1	0.614264829713136	0.0539261341538865	0.365353378910582	6.40729311787703	1.89719657890338	10.0417430311579	10.0685	0.02810586597911		Plate_1	7	Acarbose	25	DMSO
A1_Plate_1	A1	0.672086390166348	0.0342097611434807	0.383709314423058	7.62461000121834	1.80643824506099	10.2468790939695	10.2545	0.0256162003154032		Plate_1	14	Acarbose	25	DMSO
A1_Plate_1	A1	0.554331081803861	0.0681396447098226	0.389505560736931	5.04496841588124	1.77955657230807	9.76767559524621	9.782	0.0240404740913466		Plate_1	20	Acarbose	25	DMSO
A1_Plate_1	A1	0.637775964158519	0.0305670178199558	0.454268555500506	6.5797012469828	1.52585331334731	10.40432610094	10.4045	0.0174337774283478		Plate_1	10	Acarbose	25	DMSO
A1_Plate_1	A1	0.621554793303733	0.0521889695655014	0.402118206568375	5.94266051852627	1.72373985867284	10.4681336278062	10.477	0.0223557109929338		Plate_1	17	Acarbose	25	DMSO
A1_Plate_1	A1	0.635776655251725	0.0596396472989154	0.317017896707756	7.15424883247767	2.1864607259032	9.88997137754437	9.8985	0.0333218191409055		Plate_1	4	Acarbose	25	DMSO
A1_Plate_2	A1	0.492905053449166	0.0609520091463648	0.785353922161043	2.49343641650811	0.88259211675244	10.0249430392891	10.017	0.0192671431210997		Plate_2	7	Donepezil	25	DMSO
A1_Plate_2	A1	0.489787309261061	0.0128280430869998	0.695917606730883	5.19572635576234	0.996019031356381	8.70163123699841	8.693	0.00959452229887917		Plate_2	0	Donepezil	25	DMSO
A1_Plate_2	A1	0.520943544314135	0.0755265899581605	0.623482927574294	2.84615017019661	1.11173401853469	10.3681498783113	10.3615	0.0240970577878147		Plate_2	14	Donepezil	25	DMSO
A1_Plate_2	A1	0.461716338757182	0.0644630116214886	0.853931278378044	2.12954207296395	0.811713071192928	9.55492359672996	9.5535	0.0212640972721287		Plate_2	10	Donepezil	25	DMSO
A1_Plate_2	A1	0.483014941643105	0.0434709823015908	1.13478838863662	2.03883306753127	0.61081624336386	10.0844144756888	10.0835	0.0202516395010582		Plate_2	20	Donepezil	25	DMSO
A1_Plate_2	A1	0.506281220085831	0.0398730618145704	1.28253780886479	1.91757323370678	0.540449705083916	10.6412549827144	10.625	0.0167991073518031		Plate_2	4	Donepezil	25	DMSO
A1_Plate_2	A1	0.547501981075644	0.06114723863077	0.804254951524023	2.57835350920126	0.861850062901653	11.1002714374842	11.0955	0.0199420737447268		Plate_2	17	Donepezil	25	DMSO
A1_Plate_3	A1	0.44860353517115	0.0529090128598899	0.874084062652751	2.30191681950981	0.792998305513452	9.22082484662804	9.2165	0.0172986024031765		Plate_3	10	Montelukast	25	DMSO
A1_Plate_3	A1	0.515	0.0682030795719134	0.808701634830862	2.32423724012198	0.857111140507235	10.5575490099214	10.497	0.0238255872821274		Plate_3	4	Montelukast	25	DMSO
A1_Plate_3	A1	0.551087547846515	0.0358032091579089	0.525999890268353	5.06973742947246	1.31777058015415	9.81084968804308	9.791	0.0159159731694339		Plate_3	14	Montelukast	25	DMSO
A1_Plate_3	A1	0.502597807814113	0.0195279806388719	0.695402840790977	4.61360334340839	0.996756325831995	9.21232304239678	9.205	0.0127338293779575		Plate_3	0	Montelukast	25	DMSO
A1_Plate_3	A1	0.466	0.0495792584108297	0.831154446991492	2.56044299086344	0.83395713404279	9.46176456436632	9.4415	0.015318071857803		Plate_3	17	Montelukast	25	DMSO
A1_Plate_3	A1	0.485549382839373	0.0384352466807359	0.830249171118661	2.95554523224448	0.834866452954132	9.68434393833471	9.6735	0.0205149370583003		Plate_3	20	Montelukast	25	DMSO
A1_Plate_3	A1	0.502878514194171	0.0463977686325562	0.587243861643666	3.89326360277086	1.18033959285647	9.5254834896185	9.515	0.014987417973142		Plate_3	7	Montelukast	25	DMSO
A1_Plate_4	A1	0.527507211421469	0.0388109537125637	1.31517618477115	1.92600706807695	0.527037509184033	11.0860312042015	11.065	0.0180906042100346		Plate_4	4	Stevioside	25	DMSO
A1_Plate_4	A1	0.524	0.0731965509920422	0.756346526203101	2.4035056257357	0.916441282595135	10.6883236868999	10.6665	0.0235481029079367		Plate_4	10	Stevioside	25	DMSO
A1_Plate_4	A1	0.516	0.0617460154454644	0.828031475932761	2.41008595776412	0.837102454081384	10.5449731486841	10.5095	0.0222844378113078		Plate_4	17	Stevioside	25	DMSO
A1_Plate_4	A1	0.503342638639102	0.0146833028240411	0.694074475259584	5.0498249553383	0.998663983862406	9.01362135964703	8.992	0.0079640871207322		Plate_4	0	Stevioside	25	DMSO
A1_Plate_4	A1	0.485521265271665	0.0524647969224262	0.553655156866286	3.81234726225756	1.25194748385112	9.21575256997918	9.1955	0.0175331092071602		Plate_4	7	Stevioside	25	DMSO
A1_Plate_4	A1	0.540017056152142	0.0294444001681583	0.699397325562591	4.07926810906518	0.991063527448266	10.17422839759	10.147	0.0130044744970983		Plate_4	20	Stevioside	25	DMSO
A1_Plate_4	A1	0.551	0.0608406318393903	0.75771422596692	2.75364069363591	0.914787075134322	11.0706601672167	11.0475	0.0217313151825717		Plate_4	14	Stevioside	25	DMSO
