Group1	Group2	Significance	Fold_change	Concentration	Passage1	Passage2	FDR	FDR_sig	Compare	Compound
7_Stevioside_25	7_DMSO_control_0	0.114285714285714	-0.0428586523053359	25	7	7	0.533333333333332	Non-sig	auc_l	Stevioside
20_Stevioside_25	20_DMSO_control_0	0.485714285714286	0.0186452661007585	25	20	20	0.755555555555556	Non-sig	auc_l	Stevioside
14_Stevioside_25	14_DMSO_control_0	0.0571428571428571	-0.06025467430576	25	14	14	0.533333333333332	Non-sig	auc_l	Stevioside
10_Stevioside_50	10_DMSO_control_0	0.685714285714286	0.00260238749208213	50	10	10	0.8	Non-sig	auc_l	Stevioside
20_Stevioside_50	20_DMSO_control_0	0.685714285714286	-0.0107579859517739	50	20	20	0.8	Non-sig	auc_l	Stevioside
4_Stevioside_50	4_DMSO_control_0	0.685714285714286	-0.109984743107071	50	4	4	0.8	Non-sig	auc_l	Stevioside
0_Stevioside_50	0_DMSO_control_0	0.342857142857143	-0.0338856038308937	50	0	0	0.755555555555556	Non-sig	auc_l	Stevioside
14_Stevioside_50	14_DMSO_control_0	0.485714285714286	-0.0138234422567395	50	14	14	0.755555555555556	Non-sig	auc_l	Stevioside
17_Stevioside_50	17_DMSO_control_0	0.485714285714286	0.0353009682207113	50	17	17	0.755555555555556	Non-sig	auc_l	Stevioside
7_Stevioside_50	7_DMSO_control_0	0.342857142857143	0.0545364801769316	50	7	7	0.755555555555556	Non-sig	auc_l	Stevioside
7_Cypermethrin_25	7_DMSO_control_0	1	-0.00745832394618784	25	7	7	1	Non-sig	auc_l	Cypermethrin
14_Cypermethrin_25	14_DMSO_control_0	0.114285714285714	-0.0244112985509938	25	14	14	0.319999999999999	Non-sig	auc_l	Cypermethrin
10_Cypermethrin_25	10_DMSO_control_0	0.0571428571428571	-0.049961632993008	25	10	10	0.2	Non-sig	auc_l	Cypermethrin
0_Cypermethrin_25	0_DMSO_control_0	0.485714285714286	-0.0504446882692243	25	0	0	0.755555555555556	Non-sig	auc_l	Cypermethrin
20_Cypermethrin_25	20_DMSO_control_0	0.0571428571428571	-0.0579186652397564	25	20	20	0.2	Non-sig	auc_l	Cypermethrin
4_Cypermethrin_25	4_DMSO_control_0	0.0571428571428571	-0.0392670849043665	25	4	4	0.2	Non-sig	auc_l	Cypermethrin
17_Cypermethrin_25	17_DMSO_control_0	0.885714285714286	-0.0025441563811315	25	17	17	0.953846153846154	Non-sig	auc_l	Cypermethrin
7_Cypermethrin_50	7_DMSO_control_0	0.485714285714286	0.0404409779009491	50	7	7	0.755555555555556	Non-sig	auc_l	Cypermethrin
0_Cypermethrin_50	0_DMSO_control_0	0.342857142857143	0.00622686719184346	50	0	0	0.685714285714286	Non-sig	auc_l	Cypermethrin
14_Cypermethrin_50	14_DMSO_control_0	0.685714285714286	0.00179652040578471	50	14	14	0.953846153846154	Non-sig	auc_l	Cypermethrin
10_Cypermethrin_50	10_DMSO_control_0	0.0285714285714286	-0.0540234937568997	50	10	10	0.2	Non-sig	auc_l	Cypermethrin
17_Cypermethrin_50	17_DMSO_control_0	0.885714285714286	0.00219959556564142	50	17	17	0.953846153846154	Non-sig	auc_l	Cypermethrin
20_Cypermethrin_50	20_DMSO_control_0	0.342857142857143	0.0147849417614567	50	20	20	0.685714285714286	Non-sig	auc_l	Cypermethrin
4_Cypermethrin_50	4_DMSO_control_0	0.885714285714286	-0.0188975776168533	50	4	4	0.953846153846154	Non-sig	auc_l	Cypermethrin
0_Loperamide_25	0_DMSO_control_0	0.114285714285714	-0.0610702369196087	25	0	0	0.114285714285714	Non-sig	auc_l	Loperamide
7_Loperamide_25	7_DMSO_control_0	0.0285714285714286	-0.272152409376874	25	7	7	0.0333333333333334	Sig	auc_l	Loperamide
10_Loperamide_25	10_DMSO_control_0	0.0285714285714286	-0.12379427126568	25	10	10	0.0333333333333334	Sig	auc_l	Loperamide
20_Loperamide_25	20_DMSO_control_0	0.0571428571428571	-0.0247311486854997	25	20	20	0.0615384615384615	Non-sig	auc_l	Loperamide
14_Loperamide_25	14_DMSO_control_0	0.0285714285714286	-0.10811239084245	25	14	14	0.0333333333333334	Sig	auc_l	Loperamide
17_Loperamide_25	17_DMSO_control_0	0.0285714285714286	-0.0937295492478044	25	17	17	0.0333333333333334	Sig	auc_l	Loperamide
4_Loperamide_25	4_DMSO_control_0	0.0285714285714286	-0.27458588619228	25	4	4	0.0333333333333334	Sig	auc_l	Loperamide
0_Loperamide_50	0_DMSO_control_0	0.0285714285714286	-0.22648282290018	50	0	0	0.0333333333333334	Sig	auc_l	Loperamide
7_Loperamide_50	7_DMSO_control_0	0.0285714285714286	-0.232771277054709	50	7	7	0.0333333333333334	Sig	auc_l	Loperamide
17_Loperamide_50	17_DMSO_control_0	0.0285714285714286	-0.135157637048604	50	17	17	0.0333333333333334	Sig	auc_l	Loperamide
4_Loperamide_50	4_DMSO_control_0	0.0285714285714286	-0.433280790908989	50	4	4	0.0333333333333334	Sig	auc_l	Loperamide
14_Loperamide_50	14_DMSO_control_0	0.0285714285714286	-0.161935872658549	50	14	14	0.0333333333333334	Sig	auc_l	Loperamide
10_Loperamide_50	10_DMSO_control_0	0.0285714285714286	-0.123791477371474	50	10	10	0.0333333333333334	Sig	auc_l	Loperamide
20_Loperamide_50	20_DMSO_control_0	0.0285714285714286	-0.0671193342070494	50	20	20	0.0333333333333334	Sig	auc_l	Loperamide
0_Rosuvastatin_25	0_DMSO_control_0	0.114285714285714	0.0629721501024722	25	0	0	0.799999999999998	Non-sig	auc_l	Rosuvastatin
17_Rosuvastatin_25	17_DMSO_control_0	0.485714285714286	0.0320575013393751	25	17	17	1	Non-sig	auc_l	Rosuvastatin
4_Rosuvastatin_25	4_DMSO_control_0	0.685714285714286	0.0334239880999472	25	4	4	1	Non-sig	auc_l	Rosuvastatin
7_Rosuvastatin_25	7_DMSO_control_0	1	-0.000294716254691646	25	7	7	1	Non-sig	auc_l	Rosuvastatin
14_Rosuvastatin_25	14_DMSO_control_0	1	5.03056888323416e-05	25	14	14	1	Non-sig	auc_l	Rosuvastatin
10_Rosuvastatin_25	10_DMSO_control_0	1	0.00907034200364353	25	10	10	1	Non-sig	auc_l	Rosuvastatin
20_Rosuvastatin_25	20_DMSO_control_0	0.485714285714286	0.0285773587949105	25	20	20	1	Non-sig	auc_l	Rosuvastatin
0_Rosuvastatin_50	0_DMSO_control_0	0.885714285714286	-0.00610382790727498	50	0	0	1	Non-sig	auc_l	Rosuvastatin
17_Rosuvastatin_50	17_DMSO_control_0	0.885714285714286	0.0248107305524579	50	17	17	1	Non-sig	auc_l	Rosuvastatin
10_Rosuvastatin_50	10_DMSO_control_0	0.0285714285714286	0.0289777323309105	50	10	10	0.4	Non-sig	auc_l	Rosuvastatin
4_Rosuvastatin_50	4_DMSO_control_0	0.885714285714286	0.00137212778734908	50	4	4	1	Non-sig	auc_l	Rosuvastatin
7_Rosuvastatin_50	7_DMSO_control_0	0.342857142857143	-0.0209171413757582	50	7	7	1	Non-sig	auc_l	Rosuvastatin
20_Rosuvastatin_50	20_DMSO_control_0	1	-0.000815403298235788	50	20	20	1	Non-sig	auc_l	Rosuvastatin
14_Rosuvastatin_50	14_DMSO_control_0	0.342857142857143	0.0569517823410376	50	14	14	1	Non-sig	auc_l	Rosuvastatin
14_Digoxin_25	14_DMSO_control_0	0.342857142857143	-0.0155518793998896	25	14	14	0.685714285714286	Non-sig	auc_l	Digoxin
17_Digoxin_25	17_DMSO_control_0	1	0.00154920011882319	25	17	17	1	Non-sig	auc_l	Digoxin
10_Digoxin_25	10_DMSO_control_0	0.114285714285714	-0.0215440144853797	25	10	10	0.399999999999999	Non-sig	auc_l	Digoxin
20_Digoxin_25	20_DMSO_control_0	0.0571428571428571	-0.0678120795235013	25	20	20	0.399999999999999	Non-sig	auc_l	Digoxin
0_Digoxin_25	0_DMSO_control_0	0.114285714285714	-0.096681019154022	25	0	0	0.399999999999999	Non-sig	auc_l	Digoxin
7_Digoxin_25	7_DMSO_control_0	0.685714285714286	-0.0215074762666863	25	7	7	0.872727272727273	Non-sig	auc_l	Digoxin
4_Digoxin_25	4_DMSO_control_0	0.114285714285714	-0.0382301303008975	25	4	4	0.399999999999999	Non-sig	auc_l	Digoxin
10_Digoxin_50	10_DMSO_control_0	0.2	-0.0144108479319662	50	10	10	0.466666666666667	Non-sig	auc_l	Digoxin
20_Digoxin_50	20_DMSO_control_0	0.2	0.0240992658915511	50	20	20	0.466666666666667	Non-sig	auc_l	Digoxin
7_Digoxin_50	7_DMSO_control_0	0.485714285714286	0.0519719044787146	50	7	7	0.755555555555556	Non-sig	auc_l	Digoxin
4_Digoxin_50	4_DMSO_control_0	1	0.0147948614489658	50	4	4	1	Non-sig	auc_l	Digoxin
17_Digoxin_50	17_DMSO_control_0	0.485714285714286	0.0154495347144806	50	17	17	0.755555555555556	Non-sig	auc_l	Digoxin
0_Digoxin_50	0_DMSO_control_0	0.685714285714286	-0.0404035507847172	50	0	0	0.872727272727273	Non-sig	auc_l	Digoxin
14_Digoxin_50	14_DMSO_control_0	0.885714285714286	0.00188470573304249	50	14	14	1	Non-sig	auc_l	Digoxin
0_Metformin_25	0_DMSO_control_0	0.685714285714286	0.0262798567620833	25	0	0	0.872727272727273	Non-sig	auc_l	Metformin
