Comparison	Mean_OD_Water_control	Mean_OD_Xanthan_gum	P_value	P_adjust	Sig
A_Amoxicillin	0.17984693877551	0.176100515463918	2.50598267213867e-07	1.20287168262656e-05	Yes
A_Erythromycin	0.29565306122449	0.291701030927835	0.333772462811009	1	No
A_Metronidazole	0.20080612244898	0.197023195876289	0.0143445857943784	0.688540118130163	No
A_Ampicillin	0.174214285714286	0.174265463917526	0.322071459157446	1	No
A_Chloramphenicol	0.232765306122449	0.246296391752577	0.00810172562286327	0.388882829897437	No
A_Doxycycline	0.272836734693878	0.273538659793814	0.653547575961687	1	No
B_Amoxicillin	0.174010204081633	0.173182989690722	0.0336794283845455	1	No
B_Erythromycin	0.301469387755102	0.288440721649485	2.50595914434182e-05	0.00120286038928407	Yes
B_Metronidazole	0.201	0.196528350515464	0.00562195641379649	0.269853907862232	No
B_Ampicillin	0.170367346938776	0.169775773195876	0.413889369179115	1	No
B_Chloramphenicol	0.265316326530612	0.264644329896907	0.917926186673961	1	No
B_Doxycycline	0.279408163265306	0.273203608247423	0.03177900713019	1	No
C_Amoxicillin	0.206571428571429	0.304458762886598	4.34029212119916e-11	2.0833402181756e-09	Yes
C_Erythromycin	0.299397959183673	0.332262886597938	0.190663991180799	1	No
C_Metronidazole	0.202867346938776	0.198389175257732	0.00211654239242856	0.101594034836571	No
C_Ampicillin	0.169377551020408	0.17015206185567	0.673489668607078	1	No
C_Chloramphenicol	0.282755102040816	0.276896907216495	0.357677973187304	1	No
C_Doxycycline	0.279408163265306	0.27273969072165	0.0475507610088761	1	No
D_Amoxicillin	0.445459183673469	0.562927835051546	3.69245446618728e-06	0.000177237814376989	Yes
D_Erythromycin	0.28084693877551	0.496886597938144	2.16535208362661e-13	1.03936900014077e-11	Yes
D_Metronidazole	0.211247422680412	0.205656330749354	9.66826131471342e-05	0.00464076543106244	Yes
D_Ampicillin	0.171744897959184	0.177005154639175	0.73723733570083	1	No
D_Chloramphenicol	0.282112244897959	0.277002577319588	0.130119857494686	1	No
D_Doxycycline	0.246857142857143	0.249327319587629	0.114937264728017	1	No
E_Amoxicillin	0.743642857142857	0.783157216494845	0.00105890534731518	0.0508274566711286	No
E_Erythromycin	0.567479591836735	0.786438144329897	4.6430167155693e-32	2.22864802347326e-30	Yes
E_Metronidazole	0.222051020408163	0.215216494845361	7.37493885990933e-08	3.53997065275648e-06	Yes
E_Ampicillin	0.268040816326531	0.290966494845361	0.0356667128672724	1	No
E_Chloramphenicol	0.319040816326531	0.295927835051546	2.04058909952611e-08	9.79482767772533e-07	Yes
E_Doxycycline	0.309530612244898	0.272219072164948	1.83265800204669e-10	8.79675840982411e-09	Yes
F_Amoxicillin	0.915367346938776	0.896074742268041	0.11422746514342	1	No
F_Erythromycin	0.857397959183673	0.87460824742268	0.00132160804406254	0.0634371861150019	No
F_Metronidazole	0.315928571428571	0.272110824742268	6.73041573608814e-08	3.23059955332231e-06	Yes
F_Ampicillin	0.524051020408163	0.603523195876289	0.000318726058621652	0.0152988508138393	No
F_Chloramphenicol	0.698397959183673	0.630497422680412	0.00625287779479152	0.300138134149993	No
F_Doxycycline	0.548744897959184	0.53998969072165	0.300356078552986	1	No
G_Amoxicillin	0.947051020408163	0.924762886597938	0.0224732594311577	1	No
G_Erythromycin	0.894642857142857	0.891626288659794	0.7195623492364	1	No
G_Metronidazole	0.844326530612245	0.788600515463918	0.00199859213088461	0.0959324222824613	No
G_Ampicillin	0.835408163265306	0.809479381443299	0.52087039463907	1	No
G_Chloramphenicol	0.884683673469388	0.85710824742268	0.514874318104993	1	No
G_Doxycycline	0.708918367346939	0.716724226804124	0.0108489532153065	0.520749754334712	No
H_Amoxicillin	0.953010204081633	0.954524547803618	0.227544345445934	1	No
H_Erythromycin	0.915081632653061	0.909064766839378	0.867679572757979	1	No
H_Metronidazole	0.929591836734694	0.918162371134021	0.652993331821633	1	No
H_Ampicillin	0.926357142857143	0.935110824742268	0.11711877233244	1	No
H_Chloramphenicol	0.923755102040816	0.919079896907216	0.382190185210542	1	No
H_Doxycycline	0.928367346938776	0.926625322997416	0.42392544632909	1	No
