Pop_1 Pop_2 P_adj Antibiotic Sig
Plate4_H4 Parental 2.79735551478569e-09 Metronidazole Yes
Plate4_A5 Plate4_A4 1 Metronidazole No
Plate4_B5 Plate4_A4 0.0224197944754163 Metronidazole Yes
Plate4_C5 Plate4_A4 0.410072501612535 Metronidazole No
Plate4_B4 Plate4_A5 0.477021623837554 Metronidazole No
Plate4_B5 Plate4_A5 8.94490101649889e-06 Metronidazole Yes
Plate4_C4 Plate4_A5 0.461799152847765 Metronidazole No
Plate4_C5 Plate4_A5 0.000429669896044725 Metronidazole Yes
Plate4_D4 Plate4_A5 3.47603783706526e-14 Metronidazole Yes
Plate4_E4 Plate4_A5 1.36666335706527e-10 Metronidazole Yes
Plate4_F4 Plate4_A5 1.0383779027261e-06 Metronidazole Yes
Plate4_G4 Plate4_A5 0.000814401640319066 Metronidazole Yes
Plate4_H4 Plate4_A5 7.84090862957112e-14 Metronidazole Yes
Plate4_B5 Plate4_B4 1 Metronidazole No
Plate4_C5 Plate4_B4 1 Metronidazole No
Plate4_C4 Plate4_B5 0.101405031050297 Metronidazole No
Plate4_C5 Plate4_B5 1 Metronidazole No
Plate4_D4 Plate4_B5 0.000272136353296769 Metronidazole Yes
Plate4_E4 Plate4_B5 1 Metronidazole No
Plate4_F4 Plate4_B5 1 Metronidazole No
Plate4_G4 Plate4_B5 1 Metronidazole No
Plate4_H4 Plate4_B5 0.226958915395819 Metronidazole No
Plate4_C5 Plate4_C4 1 Metronidazole No
Plate4_D4 Plate4_C5 1.27624689774599e-05 Metronidazole Yes
Plate4_E4 Plate4_C5 1 Metronidazole No
Plate4_F4 Plate4_C5 1 Metronidazole No
Plate4_G4 Plate4_C5 1 Metronidazole No
Plate4_H4 Plate4_C5 0.00401733436413728 Metronidazole Yes
Plate4_A4 Parental 0.0495666621956511 Ampicillin Yes
Plate4_A5 Parental 0.464211339071351 Ampicillin No
Plate4_B4 Parental 5.98364327185517e-16 Ampicillin Yes
Plate4_B5 Parental 1 Ampicillin No
Plate4_C4 Parental 4.75220188362557e-07 Ampicillin Yes
Plate4_C5 Parental 1 Ampicillin No
Plate4_D4 Parental 2.63982690385768e-14 Ampicillin Yes
Plate4_E4 Parental 0.0518435861252916 Ampicillin No
Plate4_F4 Parental 7.12434043149141e-05 Ampicillin Yes
Plate4_G4 Parental 6.15622253611106e-10 Ampicillin Yes
Plate4_H4 Parental 4.59747923759851e-05 Ampicillin Yes
Plate4_A5 Plate4_A4 1 Ampicillin No
Plate4_B5 Plate4_A4 0.0367088748088257 Ampicillin Yes
Plate4_C5 Plate4_A4 0.514083256140995 Ampicillin No
Plate4_B4 Plate4_A5 0.00147823079252977 Ampicillin Yes
Plate4_B5 Plate4_A5 0.0177781964820551 Ampicillin Yes
Plate4_C4 Plate4_A5 1 Ampicillin No
Plate4_C5 Plate4_A5 0.297184744303611 Ampicillin No
Plate4_D4 Plate4_A5 3.95514392494887e-12 Ampicillin Yes
Plate4_E4 Plate4_A5 1 Ampicillin No
Plate4_F4 Plate4_A5 1 Ampicillin No
Plate4_G4 Plate4_A5 0.76776164927697 Ampicillin No
Plate4_H4 Plate4_A5 2.9991846709498e-07 Ampicillin Yes
Plate4_B5 Plate4_B4 4.64957545770511e-11 Ampicillin Yes
Plate4_C5 Plate4_B4 1.53068649642651e-08 Ampicillin Yes
Plate4_C4 Plate4_B5 6.54375125431385e-05 Ampicillin Yes
Plate4_C5 Plate4_B5 1 Ampicillin No
Plate4_D4 Plate4_B5 0.00318871426404697 Ampicillin Yes
Plate4_E4 Plate4_B5 1 Ampicillin No
Plate4_F4 Plate4_B5 0.156206775898492 Ampicillin No
Plate4_G4 Plate4_B5 1.25643932484457e-06 Ampicillin Yes
Plate4_H4 Plate4_B5 0.410072501612535 Ampicillin No
Plate4_C5 Plate4_C4 0.0019159777365078 Ampicillin Yes
Plate4_D4 Plate4_C5 0.0148913279929184 Ampicillin Yes
Plate4_E4 Plate4_C5 1 Ampicillin No
Plate4_F4 Plate4_C5 1 Ampicillin No
Plate4_G4 Plate4_C5 0.000112940731179687 Ampicillin Yes
Plate4_H4 Plate4_C5 0.82226682490161 Ampicillin No
Plate4_A4 Parental 0.772167163256523 Chloramphenicol No
Plate4_A5 Parental 1 Chloramphenicol No
Plate4_B4 Parental 1 Chloramphenicol No
Plate4_B5 Parental 1 Chloramphenicol No
Plate4_C4 Parental 4.67035474671972e-06 Chloramphenicol Yes
Plate4_C5 Parental 1 Chloramphenicol No
Plate4_D4 Parental 4.12052809189657e-15 Chloramphenicol Yes
Plate4_E4 Parental 1 Chloramphenicol No
Plate4_F4 Parental 1 Chloramphenicol No
Plate4_G4 Parental 0.00216822315340335 Chloramphenicol Yes
Plate4_H4 Parental 1.56633470646924e-11 Chloramphenicol Yes
Plate4_A5 Plate4_A4 0.261001643870913 Chloramphenicol No
Plate4_B5 Plate4_A4 1 Chloramphenicol No
Plate4_C5 Plate4_A4 1 Chloramphenicol No
Plate4_B4 Plate4_A5 1 Chloramphenicol No
Plate4_B5 Plate4_A5 1 Chloramphenicol No
Plate4_C4 Plate4_A5 1.08195358997188e-07 Chloramphenicol Yes
Plate4_C5 Plate4_A5 1 Chloramphenicol No
Plate4_D4 Plate4_A5 6.24885050283808e-15 Chloramphenicol Yes
Plate4_E4 Plate4_A5 1 Chloramphenicol No
Plate4_F4 Plate4_A5 1 Chloramphenicol No
Plate4_G4 Plate4_A5 0.000100132935447527 Chloramphenicol Yes
Plate4_H4 Plate4_A5 2.19968018296354e-13 Chloramphenicol Yes
Plate4_B5 Plate4_B4 1 Chloramphenicol No
Plate4_C5 Plate4_B4 1 Chloramphenicol No
Plate4_C4 Plate4_B5 0.459483236278191 Chloramphenicol No
Plate4_C5 Plate4_B5 1 Chloramphenicol No
Plate4_D4 Plate4_B5 1.24848464388679e-11 Chloramphenicol Yes
Plate4_E4 Plate4_B5 1 Chloramphenicol No
Plate4_F4 Plate4_B5 1 Chloramphenicol No
Plate4_G4 Plate4_B5 0.556181212917181 Chloramphenicol No
Plate4_H4 Plate4_B5 8.85823508625185e-11 Chloramphenicol Yes
Plate4_C5 Plate4_C4 0.0056416796523967 Chloramphenicol Yes
Plate4_D4 Plate4_C5 1.04883747911876e-11 Chloramphenicol Yes
Plate4_E4 Plate4_C5 1 Chloramphenicol No
Plate4_F4 Plate4_C5 1 Chloramphenicol No
Plate4_G4 Plate4_C5 0.102560397876798 Chloramphenicol No
Plate4_H4 Plate4_C5 1.20255314433108e-10 Chloramphenicol Yes
Plate4_A4 Parental 7.00381101797491e-12 Doxycycline Yes
Plate4_A5 Parental 0.000481818434076816 Doxycycline Yes
Plate4_B4 Parental 1.41235667091746e-10 Doxycycline Yes
Plate4_B5 Parental 1.7658598678483e-08 Doxycycline Yes
Plate4_C4 Parental 4.64174243503679e-15 Doxycycline Yes
Plate4_C5 Parental 3.98661073622377e-11 Doxycycline Yes
Plate4_D4 Parental 2.65835240456089e-05 Doxycycline Yes
Plate4_E4 Parental 2.02799839862979e-06 Doxycycline Yes
Plate4_F4 Parental 0.00247274192614508 Doxycycline Yes
Plate4_G4 Parental 4.28900626219173e-11 Doxycycline Yes
Plate4_H4 Parental 0.00123709708728341 Doxycycline Yes
Plate4_A5 Plate4_A4 0.000741438584805567 Doxycycline Yes
Plate4_B5 Plate4_A4 1 Doxycycline No
Plate4_C5 Plate4_A4 1 Doxycycline No
Plate4_B4 Plate4_A5 1 Doxycycline No
Plate4_B5 Plate4_A5 0.0129452425082622 Doxycycline Yes
Plate4_C4 Plate4_A5 2.0773049790219e-11 Doxycycline Yes
Plate4_C5 Plate4_A5 0.0141839231880658 Doxycycline Yes
Plate4_D4 Plate4_A5 1.27629887539578e-10 Doxycycline Yes
Plate4_E4 Plate4_A5 1 Doxycycline No
Plate4_F4 Plate4_A5 1 Doxycycline No
Plate4_G4 Plate4_A5 0.0258255246047338 Doxycycline Yes
Plate4_H4 Plate4_A5 1 Doxycycline No
Plate4_B5 Plate4_B4 0.390049387871221 Doxycycline No
Plate4_C5 Plate4_B4 1 Doxycycline No
Plate4_C4 Plate4_B5 0.213423220923207 Doxycycline No
Plate4_C5 Plate4_B5 1 Doxycycline No
