Group1	Group2	Significance	Fold_change	Concentration	Passage1	Passage2	FDR	FDR_sig	Compare	Compound
7_Stevioside_25	7_DMSO_control_0	0.114285714285714	-0.0428586522977555	25	7	7	0.533333333333332	Non-sig	auc_l	Stevioside
20_Stevioside_25	20_DMSO_control_0	0.485714285714286	0.0186452658371414	25	20	20	0.755555555555556	Non-sig	auc_l	Stevioside
14_Stevioside_25	14_DMSO_control_0	0.0571428571428571	-0.0602546741505488	25	14	14	0.533333333333332	Non-sig	auc_l	Stevioside
10_Stevioside_50	10_DMSO_control_0	0.685714285714286	0.00260238776301906	50	10	10	0.8	Non-sig	auc_l	Stevioside
20_Stevioside_50	20_DMSO_control_0	0.685714285714286	-0.0107579861924664	50	20	20	0.8	Non-sig	auc_l	Stevioside
4_Stevioside_50	4_DMSO_control_0	0.685714285714286	-0.109984933817134	50	4	4	0.8	Non-sig	auc_l	Stevioside
0_Stevioside_50	0_DMSO_control_0	0.342857142857143	-0.0338856042069008	50	0	0	0.755555555555556	Non-sig	auc_l	Stevioside
14_Stevioside_50	14_DMSO_control_0	0.485714285714286	-0.0138234419198727	50	14	14	0.755555555555556	Non-sig	auc_l	Stevioside
17_Stevioside_50	17_DMSO_control_0	0.485714285714286	0.0353009682695652	50	17	17	0.755555555555556	Non-sig	auc_l	Stevioside
7_Stevioside_50	7_DMSO_control_0	0.342857142857143	0.0545364802470791	50	7	7	0.755555555555556	Non-sig	auc_l	Stevioside
7_Cypermethrin_25	7_DMSO_control_0	1	-0.00745832354251794	25	7	7	1	Non-sig	auc_l	Cypermethrin
14_Cypermethrin_25	14_DMSO_control_0	0.114285714285714	-0.0244112985642842	25	14	14	0.319999999999999	Non-sig	auc_l	Cypermethrin
10_Cypermethrin_25	10_DMSO_control_0	0.0571428571428571	-0.0499616332476728	25	10	10	0.2	Non-sig	auc_l	Cypermethrin
0_Cypermethrin_25	0_DMSO_control_0	0.485714285714286	-0.0504447764907723	25	0	0	0.755555555555556	Non-sig	auc_l	Cypermethrin
20_Cypermethrin_25	20_DMSO_control_0	0.0571428571428571	-0.0579186650134976	25	20	20	0.2	Non-sig	auc_l	Cypermethrin
4_Cypermethrin_25	4_DMSO_control_0	0.0571428571428571	-0.0392670847793519	25	4	4	0.2	Non-sig	auc_l	Cypermethrin
17_Cypermethrin_25	17_DMSO_control_0	0.885714285714286	-0.00254415663910627	25	17	17	0.953846153846154	Non-sig	auc_l	Cypermethrin
7_Cypermethrin_50	7_DMSO_control_0	0.485714285714286	0.0404409783357091	50	7	7	0.755555555555556	Non-sig	auc_l	Cypermethrin
0_Cypermethrin_50	0_DMSO_control_0	0.342857142857143	0.00622677350842747	50	0	0	0.685714285714286	Non-sig	auc_l	Cypermethrin
14_Cypermethrin_50	14_DMSO_control_0	0.685714285714286	0.00179652033453966	50	14	14	0.953846153846154	Non-sig	auc_l	Cypermethrin
10_Cypermethrin_50	10_DMSO_control_0	0.0285714285714286	-0.0540234938176736	50	10	10	0.2	Non-sig	auc_l	Cypermethrin
17_Cypermethrin_50	17_DMSO_control_0	0.885714285714286	0.00219959550349419	50	17	17	0.953846153846154	Non-sig	auc_l	Cypermethrin
20_Cypermethrin_50	20_DMSO_control_0	0.342857142857143	0.0147849418736323	50	20	20	0.685714285714286	Non-sig	auc_l	Cypermethrin
4_Cypermethrin_50	4_DMSO_control_0	0.885714285714286	-0.0188975771538185	50	4	4	0.953846153846154	Non-sig	auc_l	Cypermethrin
0_Loperamide_25	0_DMSO_control_0	0.114285714285714	-0.061070237312419	25	0	0	0.114285714285714	Non-sig	auc_l	Loperamide
7_Loperamide_25	7_DMSO_control_0	0.0285714285714286	-0.272152409164028	25	7	7	0.0333333333333334	Sig	auc_l	Loperamide
10_Loperamide_25	10_DMSO_control_0	0.0285714285714286	-0.123794271528466	25	10	10	0.0333333333333334	Sig	auc_l	Loperamide
20_Loperamide_25	20_DMSO_control_0	0.0571428571428571	-0.0247311487542282	25	20	20	0.0615384615384615	Non-sig	auc_l	Loperamide
14_Loperamide_25	14_DMSO_control_0	0.0285714285714286	-0.108112390883972	25	14	14	0.0333333333333334	Sig	auc_l	Loperamide
17_Loperamide_25	17_DMSO_control_0	0.0285714285714286	-0.093729548930783	25	17	17	0.0333333333333334	Sig	auc_l	Loperamide
4_Loperamide_25	4_DMSO_control_0	0.0285714285714286	-0.274585886445066	25	4	4	0.0333333333333334	Sig	auc_l	Loperamide
0_Loperamide_50	0_DMSO_control_0	0.0285714285714286	-0.226482822824786	50	0	0	0.0333333333333334	Sig	auc_l	Loperamide
7_Loperamide_50	7_DMSO_control_0	0.0285714285714286	-0.232771277116877	50	7	7	0.0333333333333334	Sig	auc_l	Loperamide
17_Loperamide_50	17_DMSO_control_0	0.0285714285714286	-0.135157636945876	50	17	17	0.0333333333333334	Sig	auc_l	Loperamide
4_Loperamide_50	4_DMSO_control_0	0.0285714285714286	-0.433280791230201	50	4	4	0.0333333333333334	Sig	auc_l	Loperamide
14_Loperamide_50	14_DMSO_control_0	0.0285714285714286	-0.161935872806514	50	14	14	0.0333333333333334	Sig	auc_l	Loperamide
10_Loperamide_50	10_DMSO_control_0	0.0285714285714286	-0.12379147735229	50	10	10	0.0333333333333334	Sig	auc_l	Loperamide
20_Loperamide_50	20_DMSO_control_0	0.0285714285714286	-0.0671193342201281	50	20	20	0.0333333333333334	Sig	auc_l	Loperamide
