ID	sample	k	n0	r	t_mid	t_gen	auc_l	auc_e	sigma	note	Plate	Passage	Compound	Concentration	Solvent
A1_Plate_1	A1	0.563780152413575	0.0341912589554204	0.329360402577827	8.3195520350581	2.10452493722634	8.1829996525972	8.1305	0.0184282143382148		Plate_1	0	Acarbose	25	DMSO
A1_Plate_1	A1	0.614264829713136	0.0539261341538865	0.365353378910582	6.40729311787703	1.89719657890338	10.0417430311579	10.0685	0.02810586597911		Plate_1	7	Acarbose	25	DMSO
A1_Plate_1	A1	0.672086389737371	0.0342097606034034	0.383709316577591	7.6246100000037	1.80643823491782	10.2468790899946	10.2545	0.0256162003154103		Plate_1	14	Acarbose	25	DMSO
A1_Plate_1	A1	0.554331081925852	0.0681396450128351	0.389505559873079	5.04496841469729	1.7795565762548	9.76767559681754	9.782	0.0240404740913472		Plate_1	20	Acarbose	25	DMSO
A1_Plate_1	A1	0.637775963816459	0.0305670170723845	0.454268559143938	6.57970124951858	1.5258533011093	10.4043260959323	10.4045	0.01743377742835		Plate_1	10	Acarbose	25	DMSO
A1_Plate_1	A1	0.621554793243453	0.0521889693328716	0.402118207195937	5.94266052108962	1.7237398559827	10.4681336260089	10.477	0.0223557109929337		Plate_1	17	Acarbose	25	DMSO
A1_Plate_1	A1	0.635776655492829	0.0596396476675371	0.317017895752574	7.15424883383868	2.18646073249106	9.88997137887379	9.8985	0.0333218191409064		Plate_1	4	Acarbose	25	DMSO
A1_Plate_2	A1	0.492905053517531	0.0609520093559056	0.785353920487635	2.4934364170275	0.882592118633039	10.0249430399548	10.017	0.0192671431211002		Plate_2	7	Donepezil	25	DMSO
A1_Plate_2	A1	0.489787309268909	0.0128280431204844	0.695917606358419	5.1957263547151	0.996019031889464	8.70163123759167	8.693	0.00959452229887906		Plate_2	0	Donepezil	25	DMSO
A1_Plate_2	A1	0.52094354427649	0.0755265893898068	0.623482929756364	2.84615017421629	1.11173401464384	10.3681498769818	10.3615	0.0240970577878149		Plate_2	14	Donepezil	25	DMSO
A1_Plate_2	A1	0.461716338779581	0.0644630116867594	0.853931276801308	2.12954207558392	0.81171307269171	9.5549235957491	9.5535	0.0212640972721299		Plate_2	10	Donepezil	25	DMSO
A1_Plate_2	A1	0.483014941938484	0.0434709853637401	1.13478835350433	2.03883306303088	0.610816262274321	10.0844144798472	10.0835	0.020251639501074		Plate_2	20	Donepezil	25	DMSO
A1_Plate_2	A1	0.506281220183806	0.0398730640642793	1.28253778442629	1.91757322265635	0.540449715382074	10.6412549878537	10.625	0.0167991073518057		Plate_2	4	Donepezil	25	DMSO
A1_Plate_2	A1	0.547501981157297	0.0611472393806264	0.804254946943455	2.57835350692996	0.861850067810249	11.1002714388872	11.0955	0.0199420737447242		Plate_2	17	Donepezil	25	DMSO
A1_Plate_3	A1	0.448603535119462	0.0529090117894038	0.874084069437599	2.30191682773458	0.79299829935801	9.22082484375645	9.2165	0.0172986024031784		Plate_3	10	Montelukast	25	DMSO
A1_Plate_3	A1	0.515	0.0682030788247194	0.808701640614714	2.32423723911385	0.857111134377157	10.5575490121526	10.497	0.0238255872842465		Plate_3	4	Montelukast	25	DMSO
A1_Plate_3	A1	0.5510875478417	0.0358032088712671	0.525999891481493	5.06973743404027	1.31777057711491	9.81084968618277	9.791	0.015915973169434		Plate_3	14	Montelukast	25	DMSO
A1_Plate_3	A1	0.502597807896958	0.0195279809559277	0.695402837644697	4.61360334023738	0.996756330341717	9.21232304491	9.205	0.0127338293779607		Plate_3	0	Montelukast	25	DMSO
A1_Plate_3	A1	0.466	0.0495792587613445	0.831154443518478	2.56044299204365	0.833957137527516	9.46176456308088	9.4415	0.0153180718565127		Plate_3	17	Montelukast	25	DMSO
A1_Plate_3	A1	0.485549383017583	0.0384352484046112	0.83024915794944	2.95554522093923	0.834866466196592	9.68434394437702	9.6735	0.0205149370583043		Plate_3	20	Montelukast	25	DMSO
A1_Plate_3	A1	0.502878514146716	0.0463977685062345	0.587243862521939	3.89326360187856	1.18033959109117	9.52548348952085	9.515	0.0149874179731416		Plate_3	7	Montelukast	25	DMSO
A1_Plate_4	A1	0.527507211333725	0.0388109529717589	1.31517619499557	1.92600706863318	0.527037505086745	11.086031202905	11.065	0.0180906042100316		Plate_4	4	Stevioside	25	DMSO
A1_Plate_4	A1	0.524	0.0731965497973171	0.756346532662534	2.40350563029324	0.916441274768444	10.688323687238	10.6665	0.0235481029087852		Plate_4	10	Stevioside	25	DMSO
A1_Plate_4	A1	0.516	0.0617460148554584	0.82803147884847	2.41008596238606	0.837102451133735	10.5449731473882	10.5095	0.0222844378113998		Plate_4	17	Stevioside	25	DMSO
A1_Plate_4	A1	0.503342638671948	0.0146833029922246	0.694074473140601	5.04982495385355	0.998663986911289	9.01362136066895	8.992	0.00796408712073231		Plate_4	0	Stevioside	25	DMSO
A1_Plate_4	A1	0.485521265203275	0.0524647964168805	0.553655158974631	3.8123472669674	1.25194747908365	9.2157525677841	9.1955	0.0175331092071598		Plate_4	7	Stevioside	25	DMSO
A1_Plate_4	A1	0.540017056234366	0.0294444002366885	0.699397324779634	4.07926811034238	0.991063528557736	10.1742283983042	10.147	0.0130044744970993		Plate_4	20	Stevioside	25	DMSO
A1_Plate_4	A1	0.551	0.0608406330924026	0.757714217180728	2.75364069501201	0.914787085741876	11.0706601636129	11.0475	0.0217313151821291		Plate_4	14	Stevioside	25	DMSO
